M1,M2,M3,Datetime
654,647,677,27
656,650,680,27
657,652,680,27
655,649,679,27
653,649,677,27
654,650,679,27
655,649,678,27
657,651,679,27
656,651,679,27
654,650,679,27
655,650,678,27
656,652,680,27
655,649,679,27
655,649,679,27
654,650,681,27
654,650,678,27
654,649,679,27
654,652,679,27
654,649,678,28
652,648,677,28
653,647,677,28
653,649,679,28
652,647,678,28
653,648,677,28
652,647,676,28
651,648,678,28
653,649,678,28
653,648,677,28
652,648,676,28
653,648,680,28
653,649,679,28
651,647,677,28
654,648,677,28
652,647,675,28
652,650,678,28
652,648,677,28
652,648,677,28
653,649,677,28
651,648,677,29
652,649,677,29
651,647,677,29
653,650,679,29
653,651,680,29
653,649,678,29
652,649,678,29
650,647,676,29
653,650,680,29
653,649,678,29
651,648,677,29
651,647,676,29
652,648,677,29
652,649,678,29
651,647,676,29
652,649,678,29
653,651,680,29
652,650,679,29
652,648,678,29
654,652,681,29
650,650,679,30
652,649,677,30
652,650,678,30
651,648,678,30
651,648,676,30
650,648,678,30
653,651,679,30
649,647,677,30
650,648,676,30
650,647,676,30
649,648,678,30
649,647,679,30
649,647,676,30
649,647,675,30
650,648,677,30
653,650,677,30
651,649,678,30
649,647,677,30
649,648,676,30
650,649,679,30
652,650,679,31
649,647,676,31
653,651,680,31
652,649,681,31
649,646,676,31
650,650,679,31
650,649,679,31
649,650,683,31
651,646,675,31
653,653,681,31
650,648,678,31
651,650,680,31
647,645,675,31
652,652,679,31
647,646,675,31
650,648,678,31
649,651,678,31
647,645,675,31
652,652,681,31
647,645,676,31
652,650,679,32
648,647,675,32
650,649,678,32
650,648,677,32
649,647,677,32
650,648,677,32
650,650,680,32
649,647,677,32
648,649,679,32
646,645,675,32
648,648,676,32
647,646,676,32
646,646,677,32
645,645,679,32
650,651,681,32
647,645,675,32
653,651,681,32
647,646,675,32
648,645,675,32
647,645,674,32
652,650,680,33
648,648,677,33
649,649,677,33
647,647,678,33
649,649,681,33
651,650,680,33
649,647,677,33
647,646,675,33
646,646,677,33
648,649,678,33
650,650,680,33
649,648,677,33
647,646,675,33
651,649,680,33
644,645,676,33
648,647,678,33
647,647,677,33
645,646,677,33
647,647,677,33
649,649,680,33
646,647,676,34
648,645,675,34
644,646,674,34
647,647,676,34
644,644,675,34
644,645,675,34
644,646,675,34
645,645,675,34
646,646,676,34
644,645,676,34
646,647,677,34
644,644,675,34
647,647,676,34
643,645,675,34
644,646,677,34
645,646,675,34
648,650,678,34
644,645,675,34
644,645,675,34
647,646,674,34
646,646,677,35
645,647,678,35
644,647,675,35
644,645,675,35
645,647,677,35
646,647,678,35
646,648,677,35
648,647,675,35
643,645,676,35
645,648,679,35
645,647,677,35
645,646,677,35
642,645,675,35
643,645,675,35
644,646,674,35
642,644,675,35
645,647,678,35
643,646,676,35
645,647,682,35
645,646,675,35
643,646,676,36
644,648,677,36
644,646,676,36
646,648,675,36
643,646,676,36
643,645,675,36
642,646,678,36
644,649,676,36
642,646,675,36
648,649,681,36
643,646,676,36
646,650,679,36
643,646,677,36
646,649,680,36
642,645,674,36
646,649,678,36
642,644,675,36
641,645,675,36
643,645,675,36
643,648,677,36
643,647,677,37
644,646,675,37
642,646,675,37
642,646,674,37
645,648,679,37
644,648,678,37
644,648,677,37
645,648,678,37
644,648,680,37
641,645,675,37
641,645,677,37
642,645,675,37
642,645,675,37
643,646,675,37
643,652,681,37
644,647,677,37
643,646,676,37
645,646,675,37
642,645,675,37
642,646,680,37
645,648,676,38
642,647,676,38
642,647,676,38
641,645,675,38
643,648,678,38
642,645,675,38
641,646,675,38
641,645,675,38
641,645,675,38
641,644,675,38
641,648,676,38
641,646,677,38
641,645,676,38
640,646,675,38
641,644,675,38
642,646,678,38
644,648,678,38
641,646,675,38
642,647,677,38
642,647,677,38
642,645,674,39
640,646,674,39
640,645,675,39
643,646,677,39
641,647,676,39
640,645,676,39
643,649,677,39
641,647,676,39
642,647,677,39
640,647,680,39
641,647,678,39
641,647,676,39
645,650,679,39
640,647,675,39
640,644,675,39
644,650,681,39
641,646,677,39
641,646,677,39
640,647,681,39
645,649,679,39
641,646,675,40
641,646,674,40
642,647,678,40
640,645,675,40
644,649,680,40
644,649,679,40
639,646,675,40
643,647,676,40
640,646,675,40
641,647,677,40
642,647,679,40
639,646,675,40
641,650,681,40
643,648,675,40
644,649,681,40
645,651,681,40
640,645,676,40
640,646,678,40
645,650,680,40
641,647,677,41
640,646,677,41
641,647,678,41
641,649,678,41
